osmid,x,y,name
7725569620,-83.6037791,9.8451502,Ubicacion 7725569620
7731921174,-83.5983557,9.8126723,Ubicacion 7731921174
7731926287,-83.6039243,9.8495831,Ubicacion 7731926287
7731936711,-83.5975144,9.8398331,Ubicacion 7731936711
7732053015,-83.5617676,9.808351,Ubicacion 7732053015
7732065739,-83.5694253,9.8121715,Ubicacion 7732065739
7732097827,-83.5677708,9.8261592,Ubicacion 7732097827
7773979572,-83.6960931,9.8072755,Ubicacion 7773979572
7773984588,-83.6992027,9.8076044,Ubicacion 7773984588
7773984598,-83.697926,9.8075185,Ubicacion 7773984598
7773991585,-83.6946814,9.8071629,Ubicacion 7773991585
7785752805,-83.4616193,9.8082559,Ubicacion 7785752805
7821323439,-83.5634065,9.7923843,Ubicacion 7821323439
8319010440,-83.6954761,9.8093644,Ubicacion 8319010440
8319010441,-83.6960049,9.8088157,Ubicacion 8319010441
8715789742,-83.3638536,9.7915583,Ubicacion 8715789742
8715789748,-83.3637799,9.7896688,Ubicacion 8715789748
8857776698,-83.7014491,9.8127235,Ubicacion 8857776698
8857776699,-83.7010857,9.8123096,Ubicacion 8857776699
8857823810,-83.7007867,9.8126074,Ubicacion 8857823810
8858701705,-83.5969314,9.8458044,Ubicacion 8858701705
8858721008,-83.6041302,9.8247634,Ubicacion 8858721008
8858721022,-83.6040481,9.8245324,Ubicacion 8858721022
8861586336,-83.5892055,9.8170898,Ubicacion 8861586336
8863363940,-83.5758666,9.8093347,Ubicacion 8863363940
8863416410,-83.5453299,9.8041069,Ubicacion 8863416410
8863460131,-83.5125986,9.8270459,Ubicacion 8863460131
8863527521,-83.5017813,9.8249908,Ubicacion 8863527521
8866697575,-83.452736,9.8205593,Ubicacion 8866697575
8866697580,-83.4519807,9.8204121,Ubicacion 8866697580
8866713447,-83.44775,9.8151532,Ubicacion 8866713447
8866713448,-83.4506809,9.8171429,Ubicacion 8866713448
8866713462,-83.4494424,9.8170607,Ubicacion 8866713462
8866713463,-83.4517393,9.8197843,Ubicacion 8866713463
8866713506,-83.4483497,9.8230122,Ubicacion 8866713506
8866713599,-83.4520098,9.8216188,Ubicacion 8866713599
8866783387,-83.5017647,9.7557745,Ubicacion 8866783387
8866787850,-83.4934049,9.7523762,Ubicacion 8866787850
8866787963,-83.5070729,9.7606424,Ubicacion 8866787963
8866788152,-83.5178816,9.7456854,Ubicacion 8866788152
8866831022,-83.5188374,9.7255874,Ubicacion 8866831022
8866894035,-83.5074992,9.780678,Ubicacion 8866894035
8866894044,-83.5315243,9.7742868,Ubicacion 8866894044
8866985983,-83.5034364,9.7816919,Ubicacion 8866985983
9113567464,-83.4882417,9.8088254,Ubicacion 9113567464
9113567469,-83.4887225,9.8085869,Ubicacion 9113567469
10287845865,-83.7017047,9.815102,Ubicacion 10287845865
10287975756,-83.5817474,9.8117631,Ubicacion 10287975756
12163572108,-83.5993346,9.8347038,Ubicacion 12163572108
12163576458,-83.6078833,9.8068459,Ubicacion 12163576458
12165964428,-83.5729556,9.8351469,Ubicacion 12165964428
12165964467,-83.5720954,9.8338237,Ubicacion 12165964467
12165976009,-83.547717,9.8114243,Ubicacion 12165976009
12166002349,-83.4952701,9.8232231,Ubicacion 12166002349
12166517118,-83.5320786,9.8175388,Ubicacion 12166517118
12166517119,-83.5411493,9.8163097,Ubicacion 12166517119
12166517271,-83.5282191,9.8260232,Ubicacion 12166517271
12168489944,-83.6994454,9.8135164,Ubicacion 12168489944
12168489951,-83.6978064,9.8161733,Ubicacion 12168489951
12168489952,-83.6954004,9.8060938,Ubicacion 12168489952
12168489953,-83.6949213,9.8059161,Ubicacion 12168489953
12168489954,-83.6956066,9.8057008,Ubicacion 12168489954
12168489960,-83.6952347,9.8060324,Ubicacion 12168489960
12168489961,-83.695313,9.8057747,Ubicacion 12168489961
12168490118,-83.7018887,9.8007592,Ubicacion 12168490118
288649101,-83.6857447,9.8335141,Ubicacion 288649101
288650163,-83.6808121,9.8338682,Ubicacion 288650163
288650175,-83.6800575,9.8325134,Ubicacion 288650175
288650294,-83.6339505,9.8674932,Ubicacion 288650294
288651039,-83.6405067,9.8799082,Ubicacion 288651039
288651045,-83.645594,9.8818256,Ubicacion 288651045
288651099,-83.6752388,9.901059,Ubicacion 288651099
288651103,-83.6797743,9.9018241,Ubicacion 288651103
288651122,-83.6850756,9.90509,Ubicacion 288651122
288651123,-83.6855023,9.9058222,Ubicacion 288651123
288651124,-83.6859563,9.9065517,Ubicacion 288651124
288651125,-83.6869906,9.9082352,Ubicacion 288651125
288651126,-83.6874458,9.908991,Ubicacion 288651126
288651129,-83.6885852,9.9097369,Ubicacion 288651129
288651680,-83.6898104,9.9113698,Ubicacion 288651680
288654795,-83.6954296,9.9216887,Ubicacion 288654795
288654801,-83.6968139,9.9251916,Ubicacion 288654801
288654804,-83.697207,9.9257147,Ubicacion 288654804
