name,lat,lon,nearest_node
Escuela de sacerdotes Don Bosco,9.8626606,-83.930386,472374500
Kinder de guadaluoe,9.8613236,-83.9363381,472498772
Licorera El Valle,9.8636355,-83.9381766,472374786
Bar Pinkay,9.906695,-83.6859539,1430564077
Bar y Discoteca Rikaste,9.9049541,-83.6823187,471047481
Restaurante Tico Chino,9.9053718,-83.6822966,2625402331
Soda Popo's,9.9062618,-83.6837404,1431339416
Instacredit,9.9053141,-83.6849907,288651122
Restaurante La Garza,9.9062678,-83.684937,1431339430
Veterinaria Bernal,9.9061583,-83.6858057,288651124
Pizza Hut,9.8648916,-83.9145958,588818012
Parada Los Angeles,9.8646833,-83.9143117,588818012
Bar el Sitio,9.8795392,-83.9130303,1320666471
Bar & Restaurante La Angostura,9.8804804,-83.6407064,1718418903
Delegación Policial La Suiza,9.8514496,-83.614127,510159440
Clínica Dental Comunitaria la Suiza,9.85291,-83.6133,620163982
Banco Nacional,9.8499702,-83.6111165,766949053
Bar Billos,9.8491186,-83.6100915,3930969678
Delegación Policial Tuis,9.8407339,-83.5809807,5010306409
Restaurante Salas,9.8400275,-83.5809731,457205674
Bar y Restaurante El Danubio,9.821738,-83.5545891,5010271815
Iglesia de Jicotea,9.8137845,-83.5397959,5543380631
Iglesia de Bajo Pacuare Sur,9.828726,-83.5109167,5010531451
Seguridad CyS,9.9136436,-83.9971107,1734516135
Tico Taco,9.8442823,-83.9085638,804591908
Bar El Mirador de Eliseo,9.9170265,-83.8916321,1182478434
Delegación Policial de Loyola,9.8806222,-83.9289268,617847832
Delegación Policial Paraíso,9.8350402,-83.8664909,332472893
Mil Sabores,9.8389071,-83.867425,498542871
Taxis,9.8384617,-83.8667471,1834517267
ATH,9.8700444,-83.9050202,596515881
Banco Popular,9.8688477,-83.9056936,596515658
Bar Torres,9.8665191,-83.906029,596515601
Clínica Dental Dr. Roberto Granados,9.8687904,-83.9039882,596515613
Consultorio Médico Dr. Jesús A. Arrieta Vega,9.8680085,-83.9043337,596515667
Hot Chicken,9.8684824,-83.9039788,596515667
Internet Global Net,9.8696967,-83.9065818,596515669
J.C.P Especialidades Odontológicas,9.8672815,-83.9041562,281363335
La Cartaginesa,9.8694275,-83.9068604,596515669
Pizzería Daniela,9.8692921,-83.90573,596515668
Soda Tacos Tumbras,9.8679577,-83.9061264,596515654
Noche Buena,9.95887,-83.8453501,1676554678
Iglesia Cristiana Oasis,9.9030112,-83.9970852,272786436
Taco Bell,9.8648937,-83.9200663,281467484
Bar la Cabaña,9.9631075,-83.674327,2076990017
Salón Cacique Acoite,9.9658846,-83.6746508,2076990146
Café y Panadería Suiza,9.7939476,-83.8545576,365287381
Café y Panadería Suiza,9.7939,-83.854504,365287381
Costa Rica Moto,9.8007456,-83.8563225,835667784
Wok & Roll,9.9071586,-83.6842079,1431339460
Subway,9.8647505,-83.9200692,281467484
Banco de Costa Rica,9.9016214,-83.9974882,299756518
Farmacia Fischel Cartago,9.8652394,-83.9174206,281363018
Farmacia Fischel,9.9090719,-84.0030253,276540041
Farmacia Chavarría Cartago,9.8653324,-83.9193487,281467482
Cinépolis Terramall VIP,9.9018657,-83.996065,272786401
Cine Plaza Paraíso,9.8475176,-83.8913792,1834944160
Delegación Policial - Cartago,9.8672819,-83.919844,588818155
Delegación Policial Turrialba,9.902089,-83.6795143,3283342966
